title,upvotes,downvotes,comments_counted,released_on
E226 - The Guy Who's the Closest to Invincible? and the Most Dangerous Man!,2.6K,55,581 Comments,"Released on Apr 26, 2014"
E227 - Navy Headquarters Admiral Aokiji! the Ferocity of an Ultimate Powerhouse!,4.1K,18,709 Comments,"Released on Apr 26, 2014"
E228 - Duel Between Rubber and Ice! Luffy vs. Aokiji!,3.7K,24,621 Comments,"Released on Apr 26, 2014"
E229 - The Dashing Sea Train and the City of Water: Water Seven!,3.8K,30,615 Comments,"Released on Apr 26, 2014"
E230 - Adventure in the City On the Water! Head to the Mammoth Shipbuilding Plant!,3.6K,24,670 Comments,"Released on Apr 26, 2014"
E231 - The Franky Family and Iceberg!,3.5K,18,509 Comments,"Released on May 3, 2014"
E232 - Galley-La Company! a Grand Sight: Dock #1!,3.4K,23,561 Comments,"Released on May 3, 2014"
E233 - Pirate Abduction Incident! a Pirate Ship That Can Only Await Her End!,3.5K,18,714 Comments,"Released on May 3, 2014"
E234 - Rescuing Our Friend! Raid On the Franky House!,4.2K,19,759 Comments,"Released on May 3, 2014"
E235 - Big Fight Under the Moon! the Pirate Flag Flutters With Sorrow!,4.6K,33,"1,177 Comments","Released on May 3, 2014"
E236 - Luffy vs. Usopp! Collision of Two Men's Pride!,5.6K,39,"1,406 Comments","Released on May 3, 2014"
E237 - Severe Shock Hits the City of Water! Iceberg Targeted!,3.6K,19,644 Comments,"Released on May 3, 2014"
E238 - Gum-Gum Human vs. Fire-Breathing Cyborg!,3.4K,36,643 Comments,"Released on May 3, 2014"
E239 - The Straw Hat Pirates Are the Culprits? The Protectors of the City of Water!,3.3K,28,549 Comments,"Released on May 3, 2014"
E240 - Eternal Farewell? Nico Robin: The Woman Who Draws Darkness!,3.6K,29,632 Comments,"Released on May 3, 2014"
E241 - Capture Robin! The Determination of the Straw Hats!,3.5K,19,620 Comments,"Released on May 3, 2014"
E242 - Cannon Fire Is the Signal! CP9 Goes Into Action!,3.3K,25,497 Comments,"Released on May 3, 2014"
E243 - CP9 Takes Off Their Masks! Their Shocking True Faces!,3.6K,21,721 Comments,"Released on May 3, 2014"
E244 - Secret Bond! Iceberg and Franky!,3.5K,16,531 Comments,"Released on May 3, 2014"
"E245 - Come Back, Robin! Showdown With CP9!",3.5K,30,696 Comments,"Released on May 3, 2014"
E246 - The Straw Hat Pirates Annihilated? The Menace of the Leopard Model!,3.4K,27,721 Comments,"Released on May 3, 2014"
E247 - The Man Who Is Loved Even by His Ship! Usopp's Tears!,3.6K,31,"1,044 Comments","Released on May 3, 2014"
E248 - Franky's Past! the Day the Sea Train First Ran!,3.5K,24,524 Comments,"Released on May 3, 2014"
E249 - Spandam's Scheme! the Day the Sea Train Shook!,3.3K,20,477 Comments,"Released on May 3, 2014"
E250 - The End of the Legendary Man! the Day the Sea Train Cried!,3.3K,20,563 Comments,"Released on May 3, 2014"
E251 - The Truth Behind Her Betrayal! Robin's Sorrowful Decision!,3.9K,24,749 Comments,"Released on May 3, 2014"
E252 - The Steam Whistle Forces Friends Apart! the Sea Train Starts to Run,3.6K,23,665 Comments,"Released on May 3, 2014"
E253 - Sanji Barges in! Sea Train Battle in the Storm,3.5K,27,505 Comments,"Released on May 3, 2014"
E254 - Nami's Soul Cries Out! Straw Hat Luffy Makes a Comeback!,3.5K,33,804 Comments,"Released on May 3, 2014"
E255 - Another Sea Train? Rocketman Charges Forth!,3.7K,23,690 Comments,"Released on May 3, 2014"
E256 - Rescue Our Friends! a Bond Among Foes Sworn With Fists!,3.5K,21,566 Comments,"Released on May 10, 2014"
E257 - Smash the Wave! Luffy and Zoro Use the Strongest Combo!,3.7K,18,764 Comments,"Released on May 10, 2014"
E258 - A Mysterious Man Appears?! His Name Is Sogeking!,4.1K,19,875 Comments,"Released on May 10, 2014"
E259 - Showdown Between Cooks! Sanji vs. Ramen Kenpo,3.5K,35,692 Comments,"Released on May 10, 2014"
E260 - Rooftop Duel! Franky vs. Nero,3.5K,22,576 Comments,"Released on May 10, 2014"
E261 - Clash! Demon-Slasher Zoro vs. Ship-Slasher T-Bone,3.6K,22,567 Comments,"Released on May 10, 2014"
E262 - Scramble Over Robin! a Cunning Plan by Sogeking!!,3.5K,25,549 Comments,"Released on May 10, 2014"
E263 - The Judicial Island! Full View of Enies Lobby!,3.8K,20,581 Comments,"Released on May 10, 2014"
"E264 - Landing Operations Start! Charge in, Straw Hats!",5.2K,43,855 Comments,"Released on May 10, 2014"
E265 - Luffy Cuts Through! Big Showdown On the Judicial Island!,4.2K,26,593 Comments,"Released on May 10, 2014"
E266 - Battle Against Giants! Open the Second Gate!,4K,33,703 Comments,"Released on May 10, 2014"
E267 - Find a Way Out! Rocketman Takes Flight!,3.8K,25,507 Comments,"Released on May 10, 2014"
E268 - Catch up With Luffy! the Straw Hats' All-Out Battle,4K,31,721 Comments,"Released on May 10, 2014"
E269 - Robin Betrayed! the Motive of the World Government!,4.1K,25,730 Comments,"Released on May 10, 2014"
E270 - Give Robin Back! Luffy vs. Blueno!,4.3K,32,619 Comments,"Released on May 10, 2014"
E271 - Don't Stop! Hoist the Counterattack Signal!,3.8K,31,912 Comments,"Released on May 10, 2014"
E272 - Almost to Luffy! Gather at the Courthouse Plaza!,4.8K,28,556 Comments,"Released on May 10, 2014"
E273 - Everything Is to Protect My Friends! Second Gear Activated!,5.4K,18,905 Comments,"Released on May 10, 2014"
"E274 - Give Us Your Answer, Robin! The Straw Hats' Outcry!",5.3K,22,855 Comments,"Released on May 10, 2014"
E275 - Robin's Past! The Girl Who Was Called a Devil!,4.7K,23,703 Comments,"Released on May 10, 2014"
E276 - Fated Mother and Daughter! the Mother's Name Is Olvia!,3.7K,31,572 Comments,"Released on May 10, 2014"
E277 - The Tragedy of Ohara! the Terror of the Buster Call!,3.9K,28,790 Comments,"Released on May 10, 2014"
E278 - Say You Want to Live! We Are Your Friends!,6.9K,29,"1,115 Comments","Released on May 10, 2014"
E279 - Jump Towards the Falls! Luffy's Feelings!,4K,56,696 Comments,"Released on May 17, 2014"
"E280 - The Ways of Men! Zoro's Techniques, Usopp's Dream!",2.7K,64,363 Comments,"Released on May 17, 2014"
E281 - A Bond of Friendship Woven by Tears! Nami's World Map!,2.3K,73,285 Comments,"Released on May 17, 2014"
E282 - Parting Builds a Man's Character! Sanji and Chopper!,2.3K,72,385 Comments,"Released on May 17, 2014"
E283 - Everything Is for Her Friends! Robin in the Darkness!,2.7K,107,375 Comments,"Released on May 17, 2014"
E284 - I'm Not Gonna Hand Over the Blueprints! Franky's Decision!,4.4K,31,658 Comments,"Released on May 17, 2014"
E285 - Obtain the Five Keys! the Straw Hat Pirates vs. CP9!,3.9K,29,823 Comments,"Released on May 17, 2014"
E286 - Devil Fruit Powers! Kaku and Jabra Transform!,3.8K,32,670 Comments,"Released on May 17, 2014"
E287 - I Won't Kick Even if It Costs Me My Life! Sanji's Chivalry!,3.8K,34,902 Comments,"Released on May 17, 2014"
E288 - Fukurou's Miscalculation! My Cola Is the Water of Life!,4K,26,705 Comments,"Released on May 17, 2014"
E289 - Zoro Busts Out a New Technique! the Sword's Name Is Sniper King?,3.7K,16,560 Comments,"Released on May 17, 2014"
E290 - Uncontrollable! Chopper's Forbidden Rumble!,4.3K,31,659 Comments,"Released on May 17, 2014"
E291 - Boss Luffy Returns! Is It a Dream or Reality? Lottery Ruckus!,2.9K,92,587 Comments,"Released on May 17, 2014"
E292 - A Big Rice Cake Tossing Race at the Castle! Red Nose's Plot!,2.1K,77,445 Comments,"Released on May 17, 2014"
E293 - Bubble Master Kalifa! the Soap Trap Closes in On Nami!,4.2K,21,791 Comments,"Released on May 17, 2014"
E294 - Resounding Bad News! Buster Call Invoked!,3.7K,17,756 Comments,"Released on May 17, 2014"
E295 - Five Namis? Nami Strikes Back With Mirages!,3.7K,27,821 Comments,"Released on May 17, 2014"
E296 - Nami's Decision! Fire at the Out-of-Control Chopper!,3.7K,22,691 Comments,"Released on May 17, 2014"
E297 - Hunter Sanji Makes an Entrance? Elegy for a Lying Wolf!,3.6K,25,804 Comments,"Released on May 17, 2014"
E298 - Fiery Kicks! Sanji's Full Course of Foot Techniques!,4.5K,24,827 Comments,"Released on May 17, 2014"
"E299 - Fierce Sword Attacks! Zoro vs. Kaku, Powerful Sword Fighting Showdown!",3.8K,24,719 Comments,"Released on May 17, 2014"
E300 - Demon God Zoro! an Incarnation of Asura Born from Fighting Spirit!,5K,20,"1,013 Comments","Released on May 17, 2014"
E301 - Spandam Frightened! the Hero On the Tower of Law!,4.4K,23,785 Comments,"Released on May 17, 2014"
"E302 - Robin Freed! Luffy vs. Lucci, Showdown Between Leaders!",4.4K,35,746 Comments,"Released on May 17, 2014"
E303 - Boss Luffy Is the Culprit? Track Down the Missing Great Cherry Tree!,2.3K,154,512 Comments,"Released on May 24, 2014"
E304 - I Can't Protect Anyone Unless I Win! Third Gear Activated!,4.4K,27,760 Comments,"Released on May 24, 2014"
E305 - Shivering Past! Dark Justice and Rob Lucci!,3.8K,26,482 Comments,"Released on May 24, 2014"
E306 - A Mysterious Mermaid Appears? As Consciousness Fades Away...,3.9K,24,718 Comments,"Released on May 24, 2014"
E307 - Cannon Fire Sinks the Island! Franky's Lamentation!,3.9K,27,628 Comments,"Released on May 24, 2014"
E308 - Wait for Luffy! Mortal Combat On the Bridge of Hesitation!,4.2K,23,678 Comments,"Released on May 24, 2014"
E309 - Fists Full of Emotion! Luffy Unleashes Gatling With All His Might!,6.3K,32,907 Comments,"Released on May 24, 2014"
"E310 - From the Sea, A Friend Arrives! The Straw Hats Share the Strongest Bond!",5.2K,35,"1,019 Comments","Released on May 24, 2014"
E311 - Everyone Makes a Great Escape! The Road to Victory Is for the Pirates!,5.1K,24,"1,000 Comments","Released on May 24, 2014"
"E312 - Thank You, Merry! Snow Falls Over the Parting Sea!",8.9K,25,"1,948 Comments","Released on May 24, 2014"
E313 - Peace Interrupted! a Navy Vice Admiral With a Fist of Love!,5K,21,640 Comments,"Released on May 24, 2014"
E314 - The Strongest Family? Luffy's Father Revealed!,5.4K,22,770 Comments,"Released on May 24, 2014"
E315 - Its Name Is the New World! the Fate of the Grand Line!,5.1K,32,701 Comments,"Released on May 24, 2014"
E316 - Shanks Makes a Move! the Linchpin to the Reckless Era!,5K,31,542 Comments,"Released on May 24, 2014"
E317 - A Girl in Search of Her Yagara! Great Search in the City of Water!,3K,60,298 Comments,"Released on May 24, 2014"
E318 - Mothers Are Strong! Zoro's Hectic Household Chores!,3.2K,43,521 Comments,"Released on May 24, 2014"
E319 - Sanji's Shock! Mysterious Old Man and His Super Yummy Cooking!,2.9K,23,369 Comments,"Released on May 24, 2014"
E320 - Everyone Finally Has a Bounty! A Pirate Group Worth Over 600 Million!,4.8K,20,535 Comments,"Released on May 24, 2014"
E321 - The King of Animals That Overlooks the Sea! The Dream Ship Magnificently Completed!,4.3K,23,715 Comments,"Released on May 24, 2014"
E322 - Goodbye My Dear Underlings! Franky Departs!,4.9K,34,946 Comments,"Released on May 24, 2014"
E323 - Departing the City of Water! Usopp Mans Up and Brings Closure to the Duel!,4.9K,28,832 Comments,"Released on May 24, 2014"
E324 - Wanted Posters Make It Around the World! Celebration in Their Hometowns As the Ship Moves Forward!,5.3K,28,723 Comments,"Released on May 24, 2014"
E325 - The Most Heinous Power! Blackbeard's Darkness Attacks Ace!,6.7K,58,914 Comments,"Released on May 24, 2014"
