title,upvotes,downvotes,comments_counted,released_on
E32 - A Bruxa da Vila Cocoyasi! A Oficial de Arlong!,3.2K,27,159 Comentários,Lançado em 8 mar 2014
E33 - A Morte de Usopp?! Luffy Ainda Não Chegou?,3.1K,19,206 Comentários,Lançado em 8 mar 2014
E34 - Reunidos! Usopp Conta a Verdadeira História de Nami!,3.1K,27,144 Comentários,Lançado em 8 mar 2014
E35 - O Passado Secreto! A Lutadora Bell-mère!,3K,34,146 Comentários,Lançado em 8 mar 2014
"E36 - Sobreviva! Bell-mère, a mãe e família de Nami!",3K,27,151 Comentários,Lançado em 8 mar 2014
E37 - A Intervenção de Luffy! Uma Promessa Quebrada!,3.9K,24,151 Comentários,Lançado em 8 mar 2014
E38 - Luffy em Problemas! Os Homens-Peixe vs. Os Piratas de Luffy!,3.2K,21,121 Comentários,Lançado em 8 mar 2014
"E39 - Luffy Afoga! Zoro vs. Hatchan, O Polvo!",3.1K,22,123 Comentários,Lançado em 8 mar 2014
E40 - Bravos e Orgulhosos Guerreiros! A Dramática Batalha de Sanji e Usopp!,3.2K,25,155 Comentários,Lançado em 8 mar 2014
E41 - O Melhor de Luffy! A Coragem de Nami e o Chapéu de Palha!,3.2K,29,110 Comentários,Lançado em 8 mar 2014
E42 - Implacável! O Temível Ataque do Homem-Peixe Arlong!,3.2K,22,175 Comentários,Lançado em 8 mar 2014
E43 - O Fim do Império dos Homens-Peixe! Nami é Minha Companheira!,3.8K,14,166 Comentários,Lançado em 8 mar 2014
"E44 - Partindo Com Um Sorriso! Adeus, Minha Querida Vila Cocoyasi!",3.9K,17,152 Comentários,Lançado em 8 mar 2014
E45 - Recompensa! Luffy Chapéu de Palha Torna-se Famoso!,3.8K,29,135 Comentários,Lançado em 8 mar 2014
E46 - Atrás do Chapéu de Palha! A Grande Aventura do Pequeno Buggy!,3.2K,30,229 Comentários,Lançado em 8 mar 2014
"E47 - A Espera Acabou! O Retorno do Capitão Buggy, o Palhaço!",3.2K,56,175 Comentários,Lançado em 8 mar 2014
E48 - A Cidade do Começo e do Fim! A Chegada a Loguetown!,3.3K,21,161 Comentários,Lançado em 8 mar 2014
E49 - Kitetsu III e Yubashiri! As Novas Espadas de Zoro e a Superintendente da Marinha!,3.1K,13,98 Comentários,Lançado em 8 mar 2014
E50 - Duelo à Luz do Dia! Usopp vs. Daddy Papai!,3K,20,179 Comentários,Lançado em 8 mar 2014
E51 - Uma Batalha Culinária?! Sanji vs. a Linda Chef!,3K,25,122 Comentários,Lançado em 8 mar 2014
E52 - A Vingança de Buggy! O Homem que Sorri à Beira da Morte!,3.3K,26,157 Comentários,Lançado em 8 mar 2014
E53 - Nasce Uma Lenda! Em Rota Para a Grand Line!,3.7K,22,177 Comentários,Lançado em 8 mar 2014
"E54 - Rumo à Nova Aventura! Apis, Uma Garota Misteriosa!",2.9K,33,125 Comentários,Lançado em 8 mar 2014
E55 - Uma Criatura Mítica! O Segredo de Apis e a Ilha Lendária!,2.7K,21,88 Comentários,Lançado em 8 mar 2014
E56 - Eric Ataca! A Grande Fuga da Ilha Belonave!,2.6K,27,102 Comentários,Lançado em 8 mar 2014
E57 - Uma Ilha Solitária no Mar Distante! A Lendária Ilha Perdida!,2.5K,27,125 Comentários,Lançado em 8 mar 2014
E58 - Batalha nas Ruínas! Um Nervoso Zoro vs. Eric!,2.6K,30,142 Comentários,Lançado em 8 mar 2014
E59 - Luffy Completamente Encurralado! A Estratégia Secreta do Comodoro Nelson Royal!,2.3K,26,132 Comentários,Lançado em 8 mar 2014
E60 - Voe Pelos Céus! O Renascer de uma Lenda Milenar!,2.6K,24,135 Comentários,Lançado em 8 mar 2014
E61 - Um Confronto de Fúria! Para Além da Red Line!,4K,55,276 Comentários,Lançado em 8 mar 2014
