title,upvotes,downvotes,comments_counted,released_on
E616 - A Surprising Outcome! White Chase vs. Vergo!,6.2K,31,721 Comments,"Released on Aug 2, 2014"
E617 - Caesar's Defeat! The Powerful Grizzly Magnum!,5.2K,30,639 Comments,"Released on Aug 2, 2014"
E618 - Raid! an Assassin from Dressrosa!,4.7K,29,505 Comments,"Released on Aug 2, 2014"
E619 - Running Wild! Invincible General Franky!,5.9K,55,"1,445 Comments","Released on Nov 2, 2013"
E620 - A Critical Situation! Punk Hazard Explodes!,5K,36,813 Comments,"Released on Nov 9, 2013"
E621 - Capture Caesar! General Cannon Blasts!,5.2K,36,642 Comments,"Released on Nov 16, 2013"
E622 - A Touching Reunion! Momonosuke and Kin'emon!,5.3K,23,690 Comments,"Released on Nov 23, 2013"
E623 - It's Time to Say Goodbye! Leaving Punk Hazard!,5.3K,38,614 Comments,"Released on Nov 30, 2013"
E624 - The G-5 Wiped Out! Doflamingo's Sudden Attack,5.3K,37,670 Comments,"Released on Dec 7, 2013"
E625 - Intense! Aokiji vs. Doflamingo!,5.9K,56,916 Comments,"Released on Dec 14, 2013"
E626 - Caesar Goes Missing! The Pirate Alliance Makes a Sortie!,4.1K,55,555 Comments,"Released on Dec 21, 2013"
E627 - Luffy Dies at Sea?! The Pirate Alliance Comes Apart!,3.5K,68,693 Comments,"Released on Jan 4, 2014"
E628 - A Major Turnaround! Luffy's Angry Iron Fist Strikes!,4.1K,51,654 Comments,"Released on Jan 11, 2014"
E629 - Startling! The Big News Shakes Up the New World!,6.2K,28,956 Comments,"Released on Jan 18, 2014"
