title,upvotes,downvotes,comments_counted,released_on
"E96 - Erumalu, the City of Green and the Kung Fu Dugongs!",2.9K,24,410 Comments,"Released on Mar 22, 2014"
E97 - Adventure in the Country of Sand! the Monsters That Live in the Scorching Land!,2.5K,21,491 Comments,"Released on Mar 22, 2014"
E98 - Enter the Desert Pirates! the Men Who Live Freely!,2.5K,24,400 Comments,"Released on Mar 22, 2014"
"E99 - False Fortitude! Camu, Rebel Soldier at Heart!",2.4K,22,331 Comments,"Released on Mar 22, 2014"
E100 - Rebel Warrior Koza! the Dream Vowed to Vivi!,2.7K,16,708 Comments,"Released on Mar 22, 2014"
E101 - Showdown in a Heat Haze! Ace Vs. the Gallant Scorpion!,2.3K,17,301 Comments,"Released on Mar 22, 2014"
"E102 - Ruins and Lost Ways! Vivi, Her Friends and the Country's Form!",2.4K,26,394 Comments,"Released on Mar 22, 2014"
E103 - Spider's Cafe at 8 O'Clock! the Enemy Leaders Gather!,2.5K,22,431 Comments,"Released on Mar 22, 2014"
E104 - Luffy Vs. Vivi! the Tearful Vow to Put Friends On the Line!,2.5K,30,420 Comments,"Released on Mar 22, 2014"
"E105 - The Battlefront of Alabasta! Rainbase, the City of Dreams!",2.4K,24,383 Comments,"Released on Mar 22, 2014"
E106 - The Trap of Certain Defeat! Storming Raindinners!,2.3K,12,329 Comments,"Released on Mar 22, 2014"
E107 - Operation Utopia Commences! the Swell of Rebellion Stirs!,2.2K,23,408 Comments,"Released on Mar 29, 2014"
E108 - The Terrifying Banana Gators and Mr. Prince!,2.2K,16,427 Comments,"Released on Mar 29, 2014"
E109 - The Key to a Great Comeback Escape! the Wax-Wax Ball!,2.4K,18,369 Comments,"Released on Mar 29, 2014"
E110 - Merciless Mortal Combat! Luffy Vs. Crocodile!,2.6K,17,382 Comments,"Released on Mar 29, 2014"
E111 - Dash for a Miracle! Alabasta Animal Land!,2.3K,16,422 Comments,"Released on Mar 29, 2014"
E112 - Rebel Army Vs. Royal Army! Showdown at Alubarna!,2.2K,21,434 Comments,"Released on Mar 29, 2014"
E113 - Alubarna Grieves! the Fierce Captain Karoo!,2.2K,21,474 Comments,"Released on Mar 29, 2014"
"E114 - Sworn On a Friend's Dream! the Battle of Molehill, Block 4!",2.3K,27,464 Comments,"Released on Mar 29, 2014"
E115 - Big Opening Day Today! the Copy-Copy Montage!,2.3K,30,497 Comments,"Released on Mar 29, 2014"
E116 - Transformed Into Nami! Bon Clay's Rapid-Fire Ballet Kenpo!,2.3K,20,401 Comments,"Released on Mar 29, 2014"
E117 - Nami's Cyclone Advisory! Clima Takt Burst!,2.2K,16,349 Comments,"Released on Mar 29, 2014"
E118 - Secret Passed Down in the Royal Family! the Ancient Weapon Pluton!,2.2K,18,346 Comments,"Released on Mar 29, 2014"
E119 - Secret of Powerful Swordplay! Ability to Cut Steel and the Rhythm Things Have!,2.8K,15,518 Comments,"Released on Mar 29, 2014"
E120 - The Battle Is Over! Koza Raises the White Flag!,2.3K,25,434 Comments,"Released on Mar 29, 2014"
E121 - Where Vivi's Voice Gets Heard! the Hero Descends!,2.5K,12,536 Comments,"Released on Mar 29, 2014"
E122 - Sand Croc and Water Luffy! the Second Round of the Duel!,2.5K,10,493 Comments,"Released on Mar 29, 2014"
"E123 - That Looks Croc-ish! Luffy, Run to the Royal Tomb!",2.2K,22,466 Comments,"Released on Mar 29, 2014"
E124 - The Nightmare Draws Near! This Is the Sand-Sand Clan's Secret Base!,2.1K,15,445 Comments,"Released on Mar 29, 2014"
"E125 - Magnificent Wings! My Name Is Pell, Guardian Deity of the Country!",2.4K,18,525 Comments,"Released on Mar 29, 2014"
E126 - I Will Surpass You! Rain Falls in Alabasta!,3.2K,20,716 Comments,"Released on Mar 29, 2014"
E127 - A Farewell to Arms! Pirates and Different Ideas of Justice!,2.7K,20,506 Comments,"Released on Mar 29, 2014"
E128 - The Pirates' Banquet and Operation Escape from Alabasta!,2.7K,19,578 Comments,"Released on Mar 29, 2014"
E129 - It All Started On That Day! Vivi Tells the Story of Her Adventure!,3.2K,12,510 Comments,"Released on Mar 29, 2014"
E130 - Scent of Danger! the Seventh Member Is Nico Robin!,2.9K,18,530 Comments,"Released on Mar 29, 2014"
E131 - The First Patient! the Untold Story of the Rumble Ball!,2.6K,30,555 Comments,"Released on Mar 29, 2014"
E132 - Uprising of the Navigator! for the Unyielding Dream!,2.1K,22,487 Comments,"Released on Mar 29, 2014"
"E133 - A Recipe Handed Down! Sanji, the Iron Man of Curry!",2.2K,23,390 Comments,"Released on Apr 5, 2014"
"E134 - I Will Make It Bloom! Usopp, the Man and the Eight-Foot Shell!",2.4K,20,511 Comments,"Released on Apr 5, 2014"
"E135 - The Fabled Pirate Hunter! Zoro, the Wandering Swordsman!",2.7K,28,379 Comments,"Released on Apr 5, 2014"
